"Participant","uppercase.value","maps.to.sex.concept","updated.mapping","in.field","with.label.type","in.language","with.n..Occurrences...","notes","Before.Good","Total.Before","JLC.working"
"Jessica Tir","IND.","UNKNOWN","","sex","hidden","EN",4,"IND","",0,"blank"
"Elizabeth Wommack","INDEFINIDO","UNKNOWN","","sex","hidden","ES",2,"INDEFINIDO","",0,"blank"
"Tonya Haff","INDETERMINABLE","UNKNOWN","","sex","alternate","EN",4015,"INDETERMINABLE","",0,"blank"
"Peter Hosner","INDETERMINADA","UNKNOWN","","sex","alternate","ES",2,"INDETERMINADA","",0,"blank"
"Kelly Cassidy","INDETERMINADO","UNKNOWN","","sex","alternate","ES",2445,"INDETERMINADO","",0,"blank"
"Brian Schmidt","INDETERMINAT","UNKNOWN","","sex","hidden","",196,"INDETERMINAT","",0,"blank"
"Rachel Alsheikh","INDETERMINATE","UNKNOWN","","sex","alternate","EN",1082,"INDETERMINATE","",0,"blank"
"Irene Engilis","INDÉTERMINÉ","UNKNOWN","","sex","hidden","FR",12504,"INDÉTERMINÉ","",0,"blank"
"Jean Woods","INTERSEX (M&F)","ATYPICAL","","sex","alternate","EN",3,"INTERSEX  M F","",0,"blank"
"Tamaki Yuri","J","blank","not specified","lifestage","","EN",610,"J","",0,"blank"
"Serina Brady","JEUNE","blank","not specified","lifeStage","","FR",1,"JEUNE","",0,"blank"
"Kelly Cassidy","JOV","blank","not specified","lifeStage","","ES",13,"JOV","",0,"blank"
"Molly Hagemann","JOV.","blank","not specified","lifeStage","","ES",1,"JOV","",0,"blank"
"Town Peterson","JUV","blank","not specified","lifeStage","","EN",1,"JUV","",0,"blank"
"Mike Andersen ","JUV FEMALE","FEMALE","female","sex, lifeStage","hidden","EN",1,"JUV","",0,"FEMALE"
"Jessica Tir","JUVENIL","blank","not specified","lifeStage","","ES",2,"JUVENIL","",0,"blank"
"Erick Alejandro García-Trejo","JUVENILE","UNKNOWN","","sex, lifeStage","hidden","EN",377,"JUVENILE","",0,"blank"
"Mimi Damwyk","JUVÉNILE","blank","not specified","lifeStage","","FR",1,"JUVÉNILE","",0,"blank"
"Rachel Alsheikh","K","blank","not specified","","","",1,"K","",0,"blank"
"Angela Hornsby","L","blank","not specified","","","",1,"L","",0,"blank"
"Ildiko Szabo","LT 131, EA 140, PESO 6","blank ","not specified","dynamicProperties","","ES",1,"LT 131  EA 140  PESO 6","",0,"blank"
"Jean Woods","M","MALE","","sex","hidden","EN",280985,"M","1",280985,"blank"
"Brett Benz","M ?","MALE","","sex, dynamicProperties","hidden","EN",93,"M","",0,"blank"
"René Corado","M ? BY PLUMAGE","MALE","","sex, dynamicProperties","hidden","EN",1,"M   BY PLUMAGE","",0,"blank"
"Chris Milensky","M (BY PLUMAGE)","MALE","","sex, dynamicProperties","hidden","EN",4,"M  BY PLUMAGE","",0,"blank"
"Erica Krimmel","M [?]","MALE","","sex, dynamicProperties","hidden","EN",1,"M","",0,"blank"
"Elizabeth Wommack","M [BY PLUMAGE","MALE","","sex, dynamicProperties","hidden","EN",1,"M  BY PLUMAGE","",0,"blank"
"Carla Cicero","M [F]","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"M  F","",0,"blank"
"John Bates","M ATIVO","MALE","","sex, dynamicProperties","hidden","ES",2,"M ATIVO","",0,"blank"
"Molly Hagemann","M BY PLUMAGE","MALE","","sex, dynamicProperties","hidden","EN",1,"M BY PLUMAGE","",0,"blank"
"John Bates","M BY PLUMAGE *","MALE","","sex","hidden","EN",3,"M BY PLUMAGE","",0,"blank"
"Angela Hornsby","M BY PLUMMAGE","MALE","","sex, dynamicProperties","hidden","EN",1,"M BY PLUMMAGE","",0,"blank"
"Elizabeth Wommack","M IMT.","MALE","","sex, lifeStage","hidden","EN",3,"M IMT","",0,"blank"
"Carla Cicero","M JOV","MALE","","sex, lifeStage","hidden","EN",3,"M JOV","",0,"blank"
"Irene Engilis","M JOV.","MALE","","sex, lifeStage","hidden","ES",31,"M JOV","",0,"blank"
"Stephen Rogers","M PROB","MALE","","sex, dynamicProperties","hidden","EN",10,"M PROB","",0,"blank"
"Kimball Garrett","M PROBABLY","MALE","","sex, dynamicProperties","hidden","EN",5,"M PROBABLY","",0,"blank"
"John Bates","M-GONADS","MALE","","sex, reproductiveCondition","hidden","EN",4386,"M GONADS","",0,"blank"
"Erica Krimmel","M-PLUMAGE","MALE","","sex","hidden","EN",16,"M PLUMAGE","",0,"blank"
"Angela Hornsby","M-VERIFIED","MALE","","sex","hidden","EN",431,"M VERIFIED","",0,"blank"
"Jean Woods","M, F","MALE | FEMALE","mixed","sex","hidden","EN",1,"M  F","",0,"blank"
"Carla Cicero","M, SEXED BY PLUMAGE","MALE","","sex, dynamicProperties","hidden","EN",1,"M  SEXED BY PLUMAGE","",0,"blank"
"Erick Alejandro García-Trejo","M, THIS SPECIMEN IS SEXED ON THE BASIS OF THE NASA","MALE","","sex, dynamicProperties","hidden","EN",2,"M  THIS SPECIMEN IS SEXED ON THE BASIS OF THE NASA","",0,"blank"
"Angela Hornsby","M,F","MALE | FEMALE","mixed","sex","hidden","EN",1,"M F","",0,"blank"
"Laura Abraczinskas","M?","MALE","","sex, dynamicProperties","hidden","",2063,"M","",0,"blank"
"Moe Flannery","M? *","MALE","","sex, dynamicProperties","hidden","EN",1,"M","",0,"blank"
"Brett Benz","M?*","MALE","","sex, dynamicProperties","hidden","EN",2,"M","",0,"blank"
"Philip Unitt","M‚LE","MALE","","sex","hidden","EN, FR",14,"M LE","",0,"blank"
"Chris Milensky","M(?)","MALE","","sex, dynamicProperties","hidden","EN",14,"M","",0,"blank"
"Tom Trombone","M(3)","MALE","","sex, dynamicProperties","hidden","EN",1,"M 3","",0,"blank"
"Town Peterson","M]","MALE","","sex","hidden","EN",743,"M","",0,"blank"
"Jeremiah Trimble","M*","MALE","","sex, dynamicProperties","hidden","EN",23,"M","",0,"blank"
"Moe Flannery","M/F","UNKNOWN","","sex, dynamicProperties","hidden","EN",3,"M F","",0,"blank"
"Angela Hornsby","M+F","MALE | FEMALE","mixed","sex","hidden","EN",3,"M F","",0,"blank"
"Brian Schmidt","M<","MALE","","sex","hidden","EN",1,"M","",0,"blank"
"Jean Woods","M=F","ATYPICAL","","sex","hidden","EN",1,"M F","",0,"blank"
"Erick Alejandro García-Trejo","MA","MALE","","sex","hidden","EN",1,"MA","",0,"blank"
"Ildiko Szabo","MACHO","MALE","","sex","preferred","ES",180951,NA,"",0,"MIXED"
"Philip Unitt","MACHO INMADURO","MALE","","sex, lifeStage","hidden","ES",1,"INMADURO","",0,"MIXED"
"Jessica Tir","MACHO JUVENIL","MALE","","sex, lifeStage","hidden","ES",1,"JUVENIL","",0,"MIXED"
"Stephen Rogers","MACHO Y HEMBRA","ATYPICAL ","","sex","hidden","ES",1,"Y","",0,"MIXED"
"Philip Unitt","MACHP","MALE","","sex","hidden","ES",1,"MACHP","",0,"blank"
"Jeremiah Trimble","MACROCONCH MALE","MALE","","sex, dynamicProperties","hidden","EN",1,"MACROCONCH","",0,"MIXED"
"Town Peterson","MAKE","MALE","","sex","hidden","EN",1,"MAKE","",0,"blank"
"Town Peterson","MALE","MALE","","sex","preferred","EN",2431446,NA,"1",2431446,"MIXED"
"Jean Woods","MÂLE","MALE","","sex","preferred","FR",23088,"MÂLE","",0,"blank"
"Andrew Engilis","MÂLE : ?","MALE","","sex, dynamicProperties","hidden","FR",6,"MÂLE","",0,"blank"
"Chris Milensky","MÂLE : 2 ANS","MALE","","sex","hidden","FR",1,"MÂLE   2 ANS","",0,"blank"
"Kimball Garrett","MÂLE : CAT. BARRY","MALE","","sex, dynamicProperties","hidden","EN",1,"MÂLE   CAT  BARRY","",0,"blank"
"Emily Braker","MÂLE : D'APRÈS LE CAT. BARRY, P. 103","MALE","","sex, dynamicProperties","hidden","EN",5,"MÂLE   D APRÈS LE CAT  BARRY  P  103","",0,"blank"
"Irene Engilis","MÂLE : D'APRÈS LE CAT. BARRY, P. 106","MALE","","sex, dynamicProperties","hidden","FR",2,"MÂLE   D APRÈS LE CAT  BARRY  P  106","",0,"blank"
"Serina Brady","MÂLE : D'APRÈS LE CAT. BARRY, P. 99","MALE","","sex, dynamicProperties","hidden","FR",3,"MÂLE   D APRÈS LE CAT  BARRY  P  99","",0,"blank"
"Carla Cicero","MÂLE : INTERNUPTIAL","MALE","","sex, dynamicProperties","hidden","EN",2,"MÂLE   INTERNUPTIAL","",0,"blank"
"Laura Abraczinskas","MÂLE : IRIS BRUN","MALE","","sex, dynamicProperties","hidden","FR",1,"MÂLE   IRIS BRUN","",0,"blank"
"Emily Braker","MÂLE : NOTÉ MÂLE","MALE","","sex","hidden","FR",1,"MÂLE   NOTÉ MÂLE","",0,"blank"
"John Bates","MÂLE : PHÉNOTYPE","MALE","","sex","hidden","FR",1,"MÂLE   PHÉNOTYPE","",0,"blank"
"Jessica Tir","MÂLE : PLUMAGE ASSEZ SOMBRE","MALE","","sex, dynamicProperties","hidden","FR",1,"MÂLE   PLUMAGE ASSEZ SOMBRE","",0,"blank"
"Paul Robert Sweet","MÂLE : SEXE INDIQUÉ SUR L'ÉTIQUETTE","MALE","","sex","hidden","FR",1,"MÂLE   SEXE INDIQUÉ SUR L ÉTIQUETTE","",0,"blank"
"Mike Andersen ","MÂLE : SOUS LE SOCLE","MALE","","sex, dynamicProperties","hidden","FR",1,"MÂLE   SOUS LE SOCLE","",0,"blank"
"Emily Braker","MÂLE : TESTICULES PETIS","MALE","","sex, dynamicProperties","hidden","FR",1,"MÂLE   TESTICULES PETIS","",0,"blank"
"Jessica Tir","MALE ?","MALE","","sex, dynamicProperties","hidden","EN",2405,NA,"",0,"MIXED"
"Philip Unitt","MÂLE ?","MALE","","sex, dynamicProperties","hidden","FR",138,"MÂLE","",0,"blank"
"Mimi Damwyk","MALE ?; MALE","MALE","","sex, dynamicProperties","hidden","EN",1,NA,"",0,"MIXED"
"Lesley Kennes","MALE ?;MALE","MALE","","sex, dynamicProperties","hidden","EN",1,NA,"",0,"MIXED"
"Irene Engilis","MALE ?;MALE ?","MALE","","sex, dynamicProperties","hidden","EN",1,NA,"",0,"MIXED"
"Tonya Haff","MALE (? - SEE NOTE)","MALE","","sex, dynamicProperties","hidden","EN",2,"SEE NOTE","",0,"MIXED"
"Jessica Tir","MALE (? - SEE NOTE)/FEMALE (? - SEE NOTE)","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,"SEE NOTE        SEE NOTE","",0,"MIXED"
"Moe Flannery","MALE (?)","MALE","","sex, dynamicProperties","hidden","EN",78,NA,"",0,"MIXED"
"Peter Hosner","MÂLE (?)","MALE","","sex","hidden","FR",1,"MÂLE","",0,"blank"
"Andrew Engilis","MALE (?)/FEMALE","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,NA,"",0,"MIXED"
"Jessica Tir","MALE ('?MALE' ON LABEL)","MALE","","sex, dynamicProperties","hidden","EN",2,"ON LABEL","",0,"MIXED"
"Laura Abraczinskas","MALE ('PROBABLY')","MALE","","sex, dynamicProperties","hidden","EN",4,"PROBABLY","",0,"MIXED"
"Peter Hosner","MALE (BREEDING)","MALE","","sex","hidden","EN",1,"BREEDING","",0,"MIXED"
"Elizabeth Wommack","MALE (BY GONADS)","MALE","","sex, dynamicProperties","hidden","EN",189,"BY GONADS","",0,"MIXED"
"Kelly Cassidy","MALE (BY PLUMAGE)","MALE","","sex, dynamicProperties","hidden","EN",121,"BY PLUMAGE","",0,"MIXED"
"Tonya Haff","MALE (IN TEXT; FEMALE ON LABEL)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"IN TEXT   ON LABEL","",0,"MIXED"
"John Bates","MALE (IN TEXT)/FEMALE (ON LABEL)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"IN TEXT    ON LABEL","",0,"MIXED"
"Ildiko Szabo","MALE (LATER IDENTIFIED AS)","MALE ","","sex","hidden","EN",1,"LATER IDENTIFIED AS","",0,"MIXED"
"Rachel Alsheikh","MALE (NOT BREEDING)","MALE","","sex, dynamicProperties","hidden","EN",1,"NOT BREEDING","",0,"MIXED"
"Carla Cicero","MALE (ON LABEL)","MALE","","sex, dynamicProperties","hidden","EN",36,"ON LABEL","",0,"MIXED"
"Jeremiah Trimble","MALE (ON PLUMAGE)","MALE","","sex, dynamicProperties","hidden","EN",1,"ON PLUMAGE","",0,"MIXED"
"Peter Hosner","MALE (PLUMAGE)","MALE","","sex","hidden","EN",1,"PLUMAGE","",0,"MIXED"
"Christopher C Witt","MALE (PRINTED IN ERROR AS FEMALE)","MALE","","sex, dynamicProperties","hidden","EN",1,"PRINTED IN ERROR AS","",0,"MIXED"
"Chris Milensky","MALE (PROBABLY)","MALE","","sex, dynamicproperties","hidden","EN",1,"PROBABLY","",0,"MIXED"
"Brian Schmidt","MALE (SEE NOTE)","MALE","","sex, dynamicProperties","hidden","EN",5,"SEE NOTE","",0,"MIXED"
"Brett Benz","MALE (SEE NOTES)","MALE","","sex, dynamicProperties","hidden","EN",4,"SEE NOTES","",0,"MIXED"
"Angela Hornsby","MÂLE (SEXAGE DIFFICILE)","MALE","","sex, dynamicProperties","hidden","FR",2,"MÂLE  SEXAGE DIFFICILE","",0,"blank"
"Carla Cicero","MALE (SUMMER)","MALE","","sex, dynamicProperties","hidden","EN",1,"SUMMER","",0,"MIXED"
"Tamaki Yuri","MALE AND A JUVENILE","MALE | UNKNOWN","male","sex, lifestage","hidden","EN",2,"AND A JUVENILE","",0,"MIXED"
"Jessica Tir","MALE AND FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",117,"AND","",0,"MIXED"
"Tamaki Yuri","MALE AND FEMALES","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",3,"AND FEMALES","",0,"MIXED"
"René Corado","MALE AND JUVENILE","MALE","","sex","hidden","EN",1,"AND JUVENILE","",0,"MIXED"
"René Corado","MÂLE ET FEMELLE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","FR",2,"MÂLE ET","",0,"FEMALE"
"Tom Trombone","MALE FEMALE","MALE | FEMALE","mixed","sex","hidden","EN",10,NA,"",0,"MIXED"
"Tonya Haff","MALE MALE","MALE","","sex, dynamicProperties","hidden","EN",169,NA,"",0,"MIXED"
"Molly Hagemann","MALE, FEMALE AND A JUVENILE","MALE | FEMALE","mixed","sex, dynamicProperties, lifeStage","hidden","EN",29,"AND A JUVENILE","",0,"MIXED"
"Chris Milensky","MALE, FEMALE AND JUVENILE","MALE | FEMALE","mixed","sex, dynamicproperties","hidden","EN",1,"AND JUVENILE","",0,"MIXED"
"Jessica Tir","MALE; FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",12,NA,"",0,"MIXED"
"Erica Krimmel","MALE; FEMALE ?","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,NA,"",0,"MIXED"
"Carla Cicero","MALE; MALE","MALE","","sex","hidden","EN",360,NA,"",0,"MIXED"
"Town Peterson","MALE; MALE ?","MALE","","sex, dynamicProperties","hidden","EN",1,NA,"",0,"MIXED"
"Irene Engilis","MALE; MALE; MALE","MALE","","sex","hidden","EN",1,NA,"",0,"MIXED"
"Jean Woods","MALE; UNKNOWN","MALE | UNKNOWN","male","sex, dynamicProperties","hidden","EN",3,"UNKNOWN","",0,"MIXED"
"Brian Schmidt","MALE;;","MALE","","sex","hidden","EN",1,NA,"",0,"MIXED"
"Carla Cicero","MALE;FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",6,NA,"",0,"MIXED"
"Stephen Rogers","MALE;MALE","MALE","","sex","hidden","EN",94,NA,"",0,"MIXED"
"Angela Hornsby","MALE;MALE;MALE","MALE","","sex","hidden","EN",1,NA,"",0,"MIXED"
"Mike Andersen ","MALE;NOT RECORDED","MALE","","sex, dynamicProperties","hidden","EN",1,"NOT RECORDED","",0,"MIXED"
"Mike Andersen ","MALE;RECORDED AS UNKNOWN","MALE","","sex, dynamicProperties","hidden","EN",8,"RECORDED AS UNKNOWN","",0,"MIXED"
"Christopher C Witt","MALE;UNKNOWN","MALE | UNKNOWN","male","sex, dynamicProperties","hidden","EN",11,"UNKNOWN","",0,"MIXED"
"Andy Jones","MALE?","MALE","","sex, dynamicProperties","hidden","EN",618,NA,"",0,"MIXED"
"Paul Robert Sweet","MALE(S) & FEMALE(S)","UNKNOWN","","sex, dynamicProperties","hidden","EN",5,"S     S","",0,"MIXED"
"John Bates","MALE(S) AND FEMALE(S)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"S  AND  S","",0,"MIXED"
"Erick Alejandro García-Trejo","MALE/FEMALE","MALE | FEMALE","mixed","sex","preferred","EN",6,NA,"",0,"MIXED"
"John Bates","MALE/FEMALE (IN TEXT)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"IN TEXT","",0,"MIXED"
"Rachel Alsheikh","MALE/FEMALE (LABELLED AS)","UNKNOWN","","sex","hidden","EN",1,"LABELLED AS","",0,"MIXED"
"Brian Schmidt","MALE/FEMALE (ON LABEL)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",2,"ON LABEL","",0,"MIXED"
"Brian Schmidt","MALE/FEMALE FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,NA,"",0,"MIXED"
"Ildiko Szabo","MALE/FEMALE MALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,NA,"",0,"MIXED"
"Erick Alejandro García-Trejo","MALES","MALE","","sex","hidden","EN",3,"MALES","",0,"blank"
"Carla Cicero","MALES AND FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"MALES AND","",0,"FEMALE"
"Peter Hosner","MALES AND FEMALES","UNKNOWN","","sex","hidden","EN",28,"MALES AND FEMALES","",0,"blank"
"Erick Alejandro García-Trejo","MALES AND ONE FEMALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"MALES AND ONE","",0,"FEMALE"
"Christopher C Witt","MALES, FEMALES","MALE | FEMALE","mixed","sex","alternate","EN",2,"MALES  FEMALES","",0,"blank"
"Peter Hosner","MASCLE","MALE","","sex","preferred","CA",7103,NA,"",0,"MIXED"
"Irene Engilis","MASCLE | FEMELLA","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","CA",7,NA,"",0,"MIXED"
"Town Peterson","MASCLE | INDETERMINABLE","UNKNOWN","","sex","hidden","EN",3,"INDETERMINABLE","",0,"MIXED"
"René Corado","MASCLE |FEMELLA","MALE | FEMALE ","mixed","sex, dynamicProperties","hidden","CA",1,NA,"",0,"MIXED"
"John Bates","MASCULINA","MALE","","sex","hidden","ES",185,"MASCULINA","",0,"blank"
"Irene Engilis","MASCULINO","MALE","","sex","hidden","ES",1178,NA,"",0,"MIXED"
"Elizabeth Wommack","MF","MALE | FEMALE","mixed","sex","hidden","EN",7,"MF","",0,"blank"
"Andrew Engilis","MIXED","ATYPICAL","","sex","hidden","EN",33,"MIXED","",0,"blank"
"John Bates","N","UNKNOWN","","sex","hidden","EN",20,"N","",0,"blank"
"Ildiko Szabo","N/A","blank","not specified","sex","","",7,"N A","",0,"blank"
"Mike Andersen ","NO APLICABLE","UNKNOWN","","sex","hidden","ES",775,"NO APLICABLE","",0,"blank"
"Chris Milensky","NO DATA","UNKNOWN","","sex, dynamicProperties","hidden","EN",2,"NO DATA","",0,"blank"
"Angela Hornsby","NO DISPONIBLE","UNKNOWN","","sex","alternate","ES",41844,"NO DISPONIBLE","",0,"blank"
"Rachel Alsheikh","NON  DÉT.","UNKNOWN","","sex","hidden","FR",1,"NON  DÉT","",0,"blank"
"René Corado","NON DÉT.","UNKNOWN","","sex","hidden","FR",14,"NON DÉT","",0,"blank"
"René Corado","NOT","UNKNOWN","","sex","hidden","EN",130,"NOT","",0,"blank"
"Erica Krimmel","NOT DETERMINED","UNKNOWN","","sex","alternate","EN",139,"NOT DETERMINED","",0,"blank"
"Molly Hagemann","NOT RECORDED","UNKNOWN","","sex","alternate","EN",10420,"NOT RECORDED","",0,"blank"
"René Corado","NOT RECORDED;FEMALE","UNKNOWN | FEMALE","female","sex","hidden","EN",4,"NOT RECORDED","",0,"FEMALE"
"Mike Andersen ","NOT RECORDED;MALE","MALE","","sex, dynamicProperties","hidden","EN",2,"NOT RECORDED","",0,"MIXED"
"Mimi Damwyk","NOT RECORDED;UNKNOWN","UNKNOWN","","sex","hidden","EN",2,"NOT RECORDED UNKNOWN","",0,"blank"
"Kimball Garrett","O","UNKNOWN","","sex","hidden","EN",2,"O","",0,"blank"
"Paul Robert Sweet","O?","UNKNOWN","","sex","hidden","",157,"O","",0,"blank"
"Erica Krimmel","O? FILHOTE","blank","indeterminate","lifeStage","","PT",1,"O  FILHOTE","",0,"blank"
"Tonya Haff","O? JOV.","blank","indeterminate","lifeStage","","ES",1,"O  JOV","",0,"blank"
"Mike Andersen ","P","blank","not specified","sex, dynamicProperties","","",83,"P","",0,"blank"
"Christopher C Witt","PLUMAGE D'HIVER","blank","not specified","dynamicProperties","","FR",1,"PLUMAGE D HIVER","",0,"blank"
"Jean Woods","PLUMAGE ÉTÉ/NUPTIAL","blank","not specified","lifeStage","","FR",1,"PLUMAGE ÉTÉ NUPTIAL","",0,"blank"
"Jean Woods","POSIBLEMENTE HEMBRA","FEMALE","indeterminate","sex, dynamicProperties","hidden","ES",4,"POSIBLEMENTE","",0,"FEMALE"
"Christopher C Witt","POSIBLEMENTE MACHO","MALE","","sex, dynamicProperties","hidden","ES",1,"POSIBLEMENTE","",0,"MIXED"
"Stephen Rogers","PROBABLY FEMALE (JUDGING FROM WING LENGTH)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"PROBABLY   JUDGING FROM WING LENGTH","",0,"FEMALE"
"Irene Engilis","PUPPY","blank","not specified","lifeStage","","EN",1,"PUPPY","",0,"blank"
"Emily Braker","RECORDED AS UNKNOWN","UNKNOWN","","sex","hidden","EN",4125,"RECORDED AS UNKNOWN","",0,"blank"
"John Bates","RECORDED AS UNKNOWN; FEMALE","FEMALE","female","sex","hidden","EN",1,"RECORDED AS UNKNOWN","",0,"FEMALE"
"Town Peterson","RECORDED AS UNKNOWN; MALE","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,"RECORDED AS UNKNOWN","",0,"MIXED"
"Brett Benz","RECORDED AS UNKNOWN;FEMALE","UNKNOWN | FEMALE","female","sex, dynamicProperties","hidden","EN",9,"RECORDED AS UNKNOWN","",0,"FEMALE"
"Jean Woods","RECORDED AS UNKNOWN;MALE","UNKNOWN | MALE","male","sex, dynamicProperties","hidden","EN",7,"RECORDED AS UNKNOWN","",0,"MIXED"
"Tonya Haff","RECORDED AS UNKNOWN;RECORDED AS UNKNOWN","UNKNOWN","","sex","hidden","EN",5,"RECORDED AS UNKNOWN RECORDED AS UNKNOWN","",0,"blank"
"Jessica Tir","RECORDED AS UNKNOWN;UNKNOWN","UNKNOWN","","sex","hidden","EN",7,"RECORDED AS UNKNOWN UNKNOWN","",0,"blank"
"Tonya Haff","S","blank","not specified","","","EN",17,"S","",0,"blank"
"Peter Hosner","SEX UNKNOWN","UNKNOWN","","sex","hidden","EN",230,"SEX UNKNOWN","",0,"blank"
"Stephen Rogers","SEX?","UNKNOWN","","sex","hidden","EN",1,"SEX","",0,"blank"
"Jean Woods","SEXE : FEMELLE","FEMALE","female","sex","hidden","FR",41,"SEXE","",0,"FEMALE"
"Jessica Tir","SEXE : MÂLE","MALE","","sex","hidden","FR",87,"SEXE   MÂLE","",0,"blank"
"Jean Woods","SEXE INDÉTERMINÉ","UNKNOWN","","sex","hidden","FR",402,"SEXE INDÉTERMINÉ","",0,"blank"
"Ildiko Szabo","SEXE INDÉTERMINÉ : NOTÉ FEMELLE","FEMALE","female","sex","hidden","FR",49,"SEXE INDÉTERMINÉ   NOTÉ","",0,"FEMALE"
"Jean Woods","SEXE INDÉTERMINÉ : NOTÉ FEMELLE MAIS CE N'EST PAS ÉVIDENT","FEMALE","female","sex, dynamicProperties","hidden","FR",1,"SEXE INDÉTERMINÉ   NOTÉ  MAIS CE N EST PAS ÉVIDENT","",0,"FEMALE"
"Christopher C Witt","SEXE INDÉTERMINÉ : NOTÉ MÂLE","MALE","","sex, dynamicProperties","hidden","FR",101,"SEXE INDÉTERMINÉ   NOTÉ MÂLE","",0,"blank"
"Brett Benz","SEXE INDÉTERMINÉ : NOTÉE FEMELLE","UNKNOWN | FEMALE","female","sex, dynamicProperties","hidden","FR",1,"SEXE INDÉTERMINÉ   NOTÉE","",0,"FEMALE"
"Irene Engilis","TESTES 9 X 7 MM","MALE","","sex, dynamicProperties","hidden","EN",1,"TESTES 9 X 7 MM","",0,"blank"
"Erick Alejandro García-Trejo","U","UNKNOWN","","sex, dynamicProperties","hidden","EN",17937,"U","",0,"blank"
"Erica Krimmel","U?","UNKNOWN","","sex","hidden","EN",4,"U","",0,"blank"
"Jeremiah Trimble","UNDETERMINED","UNKNOWN","","sex","alternate","EN",6099,"UNDETERMINED","",0,"blank"
"Tom Trombone","UNKNOW","UNKNOWN","","sex","hidden","EN",99,"UNKNOW","",0,"blank"
"Tamaki Yuri","UNKNOWN","UNKNOWN","","sex","preferred","EN",288679,"UNKNOWN","",0,"blank"
"Andrew Engilis","UNKNOWN; FEMALE","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"UNKNOWN","",0,"FEMALE"
"Jean Woods","UNKNOWN;FEMALE","UNKNOWN | FEMALE","female","sex","preferred","EN",6,"UNKNOWN","",0,"FEMALE"
"Molly Hagemann","UNKNOWN;FEMALE ?","UNKNOWN | FEMALE","female","sex, dynamicProperties","hidden","EN",1,"UNKNOWN","",0,"FEMALE"
"Brian Schmidt","UNKNOWN;MALE","UNKNOWN | MALE","male","sex, dynamicProperties","hidden","EN",2,"UNKNOWN","",0,"MIXED"
"Irene Engilis","UNKNOWN;MALE ?","MALE","","sex, dynamicProperties","hidden","EN",1,"UNKNOWN","",0,"MIXED"
"Moe Flannery","UNKNOWN;RECORDED AS UNKNOWN","UNKNOWN","","sex","hidden","EN",9,"UNKNOWN RECORDED AS UNKNOWN","",0,"blank"
"Angela Hornsby","UNKNOWN;UNKNOWN","UNKNOWN","","sex","hidden","ES",7,"UNKNOWN UNKNOWN","",0,"blank"
"Moe Flannery","UNKOWN","UNKNOWN","","sex","hidden","EN",1,"UNKOWN","",0,"blank"
"Elizabeth Wommack","UNSEXED","UNKNOWN","","sex","hidden","EN",4792,"UNSEXED","",0,"blank"
"Molly Hagemann","W","blank","not specified","sex","hidden","",3,"W","",0,"blank"
"Jessica Tir","X","UNKNOWN","","sex","hidden","EN",1,"X","",0,"blank"
"Moe Flannery","유조","blank","not specified","","","",2,"유조","",0,"blank"
"","","","","","","",5386902,NA,"",4565428,"blank"
"","","","","","","",210,NA,"",NA,"blank"
"","","","","","","",430125,NA,"",NA,"blank"
"","","","","","","",0.920114567,NA,"",0.784810383,"blank"
"","","","","","","",NA,NA,"total",NA,"blank"
