"Participant","uppercase.value","maps.to.sex.concept","updated.mapping","in.field","with.label.type","in.language","with.n..Occurrences...","notes","Before.Good","Total.Before","JLC.working"
"Elizabeth Wommack","F IMAT.","FEMALE","female","sex, lifeStage","hidden","EN",1,"F IMAT.","",0,"FEMALE"
"Tom Trombone","F IMT.","FEMALE","female","sex, lifeStage","hidden","EN",1,"F IMT.","",0,"FEMALE"
"Lesley Kennes","F JOV.","FEMALE","female","sex, lifeStage","hidden","EN",9,"F JOV.","",0,"FEMALE"
"John Bates","F JUV.","FEMALE","female","sex, dynamicProperties","hidden","EN",2,"F JUV.","",0,"FEMALE"
"Philip Unitt","F-GONADS","FEMALE","female","sex, dynamicProperties","hidden","EN",2886,"F-GONADS","",0,"FEMALE"
"Mimi Damwyk","F-PLUMAGE","FEMALE","female","sex, dynamicProperties","hidden","EN",11,"F-PLUMAGE","",0,"FEMALE"
"Andrew Engilis","F-VERIFIED","FEMALE","female","sex, dynamicProperties","hidden","EN",352,"F-VERIFIED","",0,"FEMALE"
"Paul Robert Sweet","F?","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",3029,"F?","",0,"INDETERMINATE"
"René Corado","F[?]","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",1,"F[?]","",0,"INDETERMINATE"
"Jessica Tir","F]","FEMALE","female","sex","hidden","EN",483,"F]","",0,"FEMALE"
"Kimball Garrett","F*","FEMALE","female","sex, dynamicProperties","hidden","EN",17,"F*","",0,"FEMALE"
"Kimball Garrett","F/M","MALE | FEMALE","mixed","sex","hidden","EN",1,"F/M","",0,"MIXED"
"Elizabeth Wommack","FÊEMA","FEMALE","female","sex","hidden","PT",1,"FÊEMA","",0,"FEMALE"
"Jeremiah Trimble","FÊMA","FEMALE","female","sex","hidden","PT",1,"FÊMA","",0,"FEMALE"
"Andy Jones","FEMALE","FEMALE","female","sex","preferred","EN",1658728,"FEMALE","1",1658728,"FEMALE"
"Elizabeth Wommack","FEMALE , FEMALE","FEMALE","female","sex","hidden","EN",1,"FEMALE , FEMALE","",0,"FEMALE"
"Erica Krimmel","FEMALE ?","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",3015,"FEMALE ?","",0,"INDETERMINATE"
"Emily Braker","FEMALE ?;FEMALE ?","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",1,"FEMALE ?;FEMALE ?","",0,"INDETERMINATE"
"Tom Trombone","FEMALE ?;NOT RECORDED","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",1,"FEMALE ?;NOT RECORDED","",0,"INDETERMINATE"
"Tamaki Yuri","FEMALE (? - SEE NOTE)/MALE (? - SEE NOTE)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"FEMALE (? - SEE NOTE)/MALE (? - SEE NOTE)","",0,"INDETERMINATE"
"Philip Unitt","FEMALE (?, SEE NOTE)","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",1,"FEMALE (?, SEE NOTE)","",0,"INDETERMINATE"
"John Bates","FEMALE (?)","UNKNOWN","","sex","hidden","EN",67,"FEMALE (?)","",0,"INDETERMINATE"
"Angela Hornsby","FEMALE ('MAY BE')","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",3,"FEMALE ('MAY BE')","",0,"FEMALE"
"Kimball Garrett","FEMALE ('NOT BREEDING' ON LABEL)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"FEMALE ('NOT BREEDING' ON LABEL)","",0,"FEMALE"
"Mimi Damwyk","FEMALE ('PROBABLY')","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"FEMALE ('PROBABLY')","",0,"FEMALE"
"Tonya Haff","FEMALE (BASED ON FALCONER)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"FEMALE (BASED ON FALCONER)","",0,"FEMALE"
"Tamaki Yuri","FEMALE (BELIEVED TO BE)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"FEMALE (BELIEVED TO BE)","",0,"FEMALE"
"Lesley Kennes","FEMALE (BUT SEE NOTES)","FEMALE","female","sex","hidden","EN",3,"FEMALE (BUT SEE NOTES)","",0,"FEMALE"
"Chris Milensky","FEMALE (BY GONADS)","FEMALE","female","sex","hidden","EN",129,"FEMALE (BY GONADS)","",0,"FEMALE"
"Paul Robert Sweet","FEMALE (BY GONADS))","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"FEMALE (BY GONADS))","",0,"FEMALE"
"Jessica Tir","FEMALE (BY PLUMAGE)","FEMALE","female","sex, dynamicProperties","hidden","EN",52,"FEMALE (BY PLUMAGE)","",0,"FEMALE"
"Andrew Engilis","FEMALE (FIDE SCLATER 1888, CAT. BDS. BRIT. MUS., 14 P.66)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"FEMALE (FIDE SCLATER 1888, CAT. BDS. BRIT. MUS., 14 P.66)","",0,"FEMALE"
"Laura Abraczinskas","FEMALE (FIDE SCLATER, 1888, CAT. BDS. BRIT. MUS., 14 P.66.)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"FEMALE (FIDE SCLATER, 1888, CAT. BDS. BRIT. MUS., 14 P.66.)","",0,"FEMALE"
"Paul Robert Sweet","FEMALE (IDENTIFIED LATER AS)","FEMALE","female","sex","hidden","EN",1,"FEMALE (IDENTIFIED LATER AS)","",0,"FEMALE"
"Elizabeth Wommack","FEMALE (IN REGISTER)","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"FEMALE (IN REGISTER)","",0,"FEMALE"
"Lesley Kennes","FEMALE (LATER IDENTIFIED AS)","FEMALE","female","sex","hidden","EN",2,"FEMALE (LATER IDENTIFIED AS)","",0,"FEMALE"
"Mike Andersen ","FEMALE (MALE, ON LABEL)","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"FEMALE (MALE, ON LABEL)","",0,"MIXED"
"Angela Hornsby","FEMALE (ON LABEL)","FEMALE","female","sex, dynamicProperties","hidden","EN",42,"FEMALE (ON LABEL)","",0,"FEMALE"
"Elizabeth Wommack","FEMALE (ON LABEL)/MALE (IN TEXT)","FEMALE | MALE","mixed","sex, dynamicProperties","hidden","EN",1,"FEMALE (ON LABEL)/MALE (IN TEXT)","",0,"MIXED"
"Lesley Kennes","FEMALE (ON PLUMAGE)","FEMALE","female","sex","hidden","EN",1,"FEMALE (ON PLUMAGE)","",0,"FEMALE"
"Kelly Cassidy","FEMALE (OR IMMATURE)","FEMALE","female","sex, lifeStage, dynamicProperties","hidden","EN",1,"FEMALE (OR IMMATURE)","",0,"FEMALE"
"Serina Brady","FEMALE (SEE NOTE)","FEMALE","female","sex, dynamicProperties","hidden","EN",2,"FEMALE (SEE NOTE)","",0,"FEMALE"
"Kelly Cassidy","FEMALE (SEE NOTES)","FEMALE","female","sex, dynamicProperties","hidden","EN",2,"FEMALE (SEE NOTES)","",0,"FEMALE"
"Philip Unitt","FEMALE (SUBSEQUENTLY CONSIDERED TO BE MALE)","UNKNOWN","","sex, dynamicProperties","hidden","EN",1,"FEMALE (SUBSEQUENTLY CONSIDERED TO BE MALE)","",0,"MIXED"
"Jean Woods","FEMALE (SUBSEQUENTLY SEXED AS)","FEMALE","female","sex, dynamicProperties","hidden","FR",1,"FEMALE (SUBSEQUENTLY SEXED AS)","",0,"FEMALE"
"Angela Hornsby","FEMALE (WATER-COLOUR DRAWING)","FEMALE","female","sex, preparations","hidden","EN",1,"FEMALE (WATER-COLOUR DRAWING)","",0,"FEMALE"
"Elizabeth Wommack","FEMALE | MALE","FEMALE | MALE","mixed","sex","preferred","EN",5,"FEMALE | MALE","",0,"MIXED"
"Jessica Tir","FEMALE AND JUVENILE","FEMALE","female","sex, lifeStage","hidden","EN",1,"FEMALE AND JUVENILE","",0,"FEMALE"
"Mimi Damwyk","FEMALE FEMALE","FEMALE","female","sex","hidden","EN",111,"FEMALE FEMALE","",0,"FEMALE"
"Mike Andersen ","FEMALE MALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",1,"FEMALE MALE","",0,"MIXED"
"Christopher C Witt","FEMALE, [MALE]","FEMALE | MALE","mixed","sex, dynamicProperties","hidden","EN",4,"FEMALE, [MALE]","",0,"MIXED"
"John Bates","FEMALE; BASED ON PLUMAGE","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"FEMALE; BASED ON PLUMAGE","",0,"FEMALE"
"Jeremiah Trimble","FEMALE; FEMALE","FEMALE","female","sex","hidden","EN",206,"FEMALE; FEMALE","",0,"FEMALE"
"Jean Woods","FEMALE; FEMALE ?","FEMALE","female","sex, dynamicProperties","hidden","EN",2,"FEMALE; FEMALE ?","",0,"INDETERMINATE"
"John Bates","FEMALE; MALE","MALE | FEMALE","mixed","sex, dynamicProperties","preferred","EN",8,"FEMALE; MALE","",0,"MIXED"
"Jessica Tir","FEMALE; RECORDED AS UNKNOWN","FEMALE","female","sex, dynamicProperties","hidden","EN",3,"FEMALE; RECORDED AS UNKNOWN","",0,"FEMALE"
"Elizabeth Wommack","FEMALE; UNKNOWN","FEMALE | UNKNOWN","female","sex","preferred","EN",2,"FEMALE; UNKNOWN","",0,"FEMALE"
"Mike Andersen ","FEMALE;FEMALE","FEMALE","female","sex","hidden","EN",69,"FEMALE;FEMALE","",0,"FEMALE"
"John Bates","FEMALE;MALE","MALE | FEMALE","mixed","sex, dynamicProperties","hidden","EN",5,"FEMALE;MALE","",0,"MIXED"
"Laura Abraczinskas","FEMALE;RECORDED AS UNKNOWN","FEMALE | UNKNOWN","female","sex","hidden","EN",11,"FEMALE;RECORDED AS UNKNOWN","",0,"FEMALE"
"Irene Engilis","FEMALE;UNKNOWN","FEMALE","female","sex, dynamicProperties","hidden","EN",6,"FEMALE;UNKNOWN","",0,"FEMALE"
"Irene Engilis","FEMALE?","FEMALE","indeterminate","sex, dynamicProperties","hidden","EN",327,"FEMALE?","",0,"INDETERMINATE"
"Philip Unitt","FEMALE/MALE","UNKNOWN","","sex","hidden","EN",4,"FEMALE/MALE","",0,"MIXED"
"Brett Benz","FEMALE/MALE (ON LABEL)","FEMALE | MALE","mixed","sex, dynamicProperties","hidden","EN",1,"FEMALE/MALE (ON LABEL)","",0,"MIXED"
"Jean Woods","FEMALES","FEMALE","female","sex","hidden","EN",1,"FEMALES","",0,"UNSPECIFIED"
"Jessica Tir","FEMEA","FEMALE","female","sex","hidden","PT",2,"FEMEA","",0,"FEMALE"
"John Bates","FÊMEA","FEMALE","female","sex","preferred","PT",3466,"FÊMEA","",0,"FEMALE"
"Brian Schmidt","FEMELLA","FEMALE","female","sex","hidden","CA",5930,"FEMELLA","",0,"FEMALE"
"Serina Brady","FEMELLA | MASCLE","FEMALE | MALE","mixed","sex, dynamicProperties","preferred","CA",6,"FEMELLA | MASCLE","",0,"MIXED"
"Andrew Engilis","FEMELLE","FEMALE","female","sex","hidden","FR",14207,"FEMELLE","",0,"FEMALE"
"Emily Braker","FEMELLE : ?","FEMALE","indeterminate","sex","hidden","FR",2,"FEMELLE : ?","",0,"INDETERMINATE"
"Serina Brady","FEMELLE : CAT. BARRY","FEMALE","female","sex, dynamicProperties","hidden","FR",1,"FEMELLE : CAT. BARRY","",0,"FEMALE"
"Erick Alejandro García-Trejo","FEMELLE : D'APRÈS LE CAT. BARRY, P. 103","FEMALE","female","sex","hidden","FR",1,"FEMELLE : D'APRÈS LE CAT. BARRY, P. 103","",0,"FEMALE"
"Laura Abraczinskas","FEMELLE : D'APRÈS LE CAT. BARRY, P. 99","FEMALE","female","sex, dynamicProperties","hidden","FR",2,"FEMELLE : D'APRÈS LE CAT. BARRY, P. 99","",0,"FEMALE"
"Kelly Cassidy","FEMELLE : INDIVIDU À GORGE NOIRE.","FEMALE","female","sex, dynamicProperties","hidden","FR",1,"FEMELLE : INDIVIDU À GORGE NOIRE.","",0,"FEMALE"
"Peter Hosner","FEMELLE : NOTÉ FEMELLE","FEMALE","female","sex","hidden","FR",3,"FEMELLE : NOTÉ FEMELLE","",0,"FEMALE"
"Laura Abraczinskas","FEMELLE : ORIGINAL : MÂLE","FEMALE | MALE","mixed","sex, dynamicProperties","hidden","FR",1,"FEMELLE : ORIGINAL : MÂLE","",0,"MIXED"
"Jessica Tir","FEMELLE : OVAIRE NORMAL","FEMALE","female","sex, dynamicProperties","hidden","FR",1,"FEMELLE : OVAIRE NORMAL","",0,"FEMALE"
"Lesley Kennes","FEMELLE : PLUMAGE DE TRANSITION","FEMALE","female","sex","hidden","CA",1,"FEMELLE : PLUMAGE DE TRANSITION","",0,"FEMALE"
"Tonya Haff","FEMELLE : PROBABLEMENT","FEMALE","female","sex, dynamicProperties","hidden","FR",2,"FEMELLE : PROBABLEMENT","",0,"FEMALE"
"Angela Hornsby","FEMELLE : SEXE À CONFIRMER.","FEMALE","female","sex","hidden","FR",1,"FEMELLE : SEXE À CONFIRMER.","",0,"FEMALE"
"Emily Braker","FEMELLE : SEXE INDIQUÉ SUR L'ÉTIQUETTE","FEMALE","female","sex, dynamicProperties","hidden","FR",1,"FEMELLE : SEXE INDIQUÉ SUR L'ÉTIQUETTE","",0,"FEMALE"
"John Bates","FEMELLE ?","FEMALE","indeterminate","sex, dynamicProperties","hidden","FR",166,"FEMELLE ?","",0,"INDETERMINATE"
"Mike Andersen ","FEMELLE (?)","FEMALE","indeterminate","sex, dynamicProperties","hidden","FR",2,"FEMELLE (?)","",0,"INDETERMINATE"
"Andrew Engilis","FEMELLE, OVIDUCTE LÂCHE","FEMALE","female","sex, dynamicProperties","hidden","EN",1,"FEMELLE, OVIDUCTE LÂCHE","",0,"FEMALE"
"Tamaki Yuri","FEMEMNINO","FEMALE","female","sex","hidden","ES",1,"FEMEMNINO","",0,"UNSPECIFIED"
"Laura Abraczinskas","FEMENINA","FEMALE","female","sex","hidden","",117,"FEMENINA","",0,"UNSPECIFIED"
"Lesley Kennes","FEMENINO","FEMALE","female","sex","alternate","ES",850,"FEMENINO","",0,"FEMALE"
"Brian Schmidt","FÊMES","FEMALE","female","sex","hidden","FR",1,"FÊMES","",0,"FEMALE"
"Ildiko Szabo","FÍMEA","FEMALE","female","sex","hidden","PT",466,"FÍMEA","",0,"FEMALE"
"Mike Andersen ","G","blank","not specified","","","",3,"G","",0,"UNSPECIFIED"
"Stephen Rogers","GO","UNKNOWN","","sex","hidden","?",1,"GO","",0,"UNSPECIFIED"
"Irene Engilis","GYNANDROMORPH","ATYPICAL","","sex","alternate","",9,"GYNANDROMORPH","",0,"ATYPICAL"
